"arc_length","N","M"
0,1,1.21557e-05
0.001,1,0.000582952
0.002,0.999999,0.00115375
0.003,0.999997,0.00172455
0.004,0.999995,0.00229535
0.005,0.999992,0.00286615
0.006,0.999988,0.00343696
0.007,0.999984,0.00400777
0.008,0.999979,0.00457859
0.009,0.999973,0.00514941
0.01,0.999967,0.00572024
0.011,0.99996,0.00629108
0.012,0.999953,0.00686193
0.013,0.999945,0.00743278
0.014,0.999936,0.00800365
0.015,0.999926,0.00857452
0.016,0.999916,0.00914541
0.017,0.999906,0.00971631
0.018,0.999894,0.0102872
0.019,0.999882,0.0108581
0.02,0.999869,0.0114291
0.021,0.999856,0.012
0.022,0.999842,0.012571
0.023,0.999827,0.013142
0.024,0.999812,0.013713
0.025,0.999796,0.014284
0.026,0.999779,0.014855
0.027,0.999762,0.0154261
0.028,0.999744,0.0159972
0.029,0.999726,0.0165683
0.03,0.999706,0.0171394
0.031,0.999686,0.0177105
0.032,0.999666,0.0182817
0.033,0.999645,0.0188529
0.034,0.999623,0.0194241
0.035,0.9996,0.0199954
0.036,0.999577,0.0205666
0.037,0.999553,0.0211379
0.038,0.999529,0.0217092
0.039,0.999504,0.0222806
0.04,0.999478,0.022852
0.041,0.999452,0.0234234
0.042,0.999425,0.0239948
0.043,0.999397,0.0245663
0.044,0.999368,0.0251378
0.045,0.999339,0.0257093
0.046,0.99931,0.0262809
0.047,0.999279,0.0268525
0.048,0.999248,0.0274241
0.049,0.999217,0.0279958
0.05,0.999185,0.0285675
0.051,0.999152,0.0291393
0.052,0.999118,0.029711
0.053,0.999084,0.0302829
0.054,0.999049,0.0308547
0.055,0.999013,0.0314266
0.056,0.998977,0.0319986
0.057,0.99894,0.0325706
0.058,0.998903,0.0331426
0.059,0.998865,0.0337147
0.06,0.998826,0.0342868
0.061,0.998786,0.034859
0.062,0.998746,0.0354312
0.063,0.998705,0.0360034
0.064,0.998664,0.0365757
0.065,0.998622,0.0371481
0.066,0.998579,0.0377205
0.067,0.998536,0.0382929
0.068,0.998492,0.0388654
0.069,0.998447,0.039438
0.07,0.998402,0.0400106
0.071,0.998356,0.0405832
0.072,0.998309,0.0411559
0.073,0.998262,0.0417287
0.074,0.998214,0.0423015
0.075,0.998165,0.0428744
0.076,0.998116,0.0434473
0.077,0.998066,0.0440203
0.078,0.998015,0.0445933
0.079,0.997964,0.0451664
0.08,0.997912,0.0457396
0.081,0.99786,0.0463128
0.082,0.997807,0.0468861
0.083,0.997753,0.0474594
0.084,0.997698,0.0480328
0.085,0.997643,0.0486063
0.086,0.997587,0.0491798
0.087,0.997531,0.0497534
0.088,0.997474,0.0503271
0.089,0.997416,0.0509008
0.09,0.997357,0.0514746
0.091,0.997298,0.0520485
0.092,0.997239,0.0526224
0.093,0.997178,0.0531964
0.094,0.997117,0.0537705
0.095,0.997055,0.0543446
0.096,0.996993,0.0549188
0.097,0.99693,0.0554931
0.098,0.996866,0.0560675
0.099,0.996802,0.0566419
0.1,0.996737,0.0572164
0.101,0.996671,0.057791
0.102,0.996605,0.0583657
0.103,0.996538,0.0589404
0.104,0.99647,0.0595152
0.105,0.996402,0.0600901
0.106,0.996333,0.0606651
0.107,0.996264,0.0612401
0.108,0.996193,0.0618153
0.109,0.996123,0.0623905
0.11,0.996051,0.0629658
0.111,0.995979,0.0635412
0.112,0.995906,0.0641166
0.113,0.995832,0.0646922
0.114,0.995758,0.0652678
0.115,0.995683,0.0658435
0.116,0.995608,0.0664194
0.117,0.995532,0.0669953
0.118,0.995455,0.0675712
0.119,0.995377,0.0681473
0.12,0.995299,0.0687235
0.121,0.99522,0.0692997
0.122,0.995141,0.0698761
0.123,0.995061,0.0704525
0.124,0.99498,0.0710291
0.125,0.994899,0.0716057
0.126,0.994817,0.0721824
0.127,0.994734,0.0727593
0.128,0.994651,0.0733362
0.129,0.994567,0.0739132
0.13,0.994482,0.0744903
0.131,0.994396,0.0750675
0.132,0.99431,0.0756449
0.133,0.994224,0.0762223
0.134,0.994136,0.0767998
0.135,0.994048,0.0773774
0.136,0.99396,0.0779551
0.137,0.99387,0.078533
0.138,0.99378,0.0791109
0.139,0.99369,0.0796889
0.14,0.993598,0.0802671
0.141,0.993506,0.0808453
0.142,0.993414,0.0814237
0.143,0.993321,0.0820022
0.144,0.993227,0.0825807
0.145,0.993132,0.0831594
0.146,0.993037,0.0837382
0.147,0.992941,0.0843172
0.148,0.992844,0.0848962
0.149,0.992747,0.0854753
0.15,0.992649,0.0860546
0.151,0.99255,0.0866339
0.152,0.992451,0.0872134
0.153,0.992351,0.087793
0.154,0.992251,0.0883728
0.155,0.99215,0.0889526
0.156,0.992048,0.0895326
0.157,0.991945,0.0901126
0.158,0.991842,0.0906929
0.159,0.991738,0.0912732
0.16,0.991634,0.0918536
0.161,0.991528,0.0924342
0.162,0.991422,0.0930149
0.163,0.991316,0.0935957
0.164,0.991209,0.0941767
0.165,0.991101,0.0947577
0.166,0.990992,0.0953389
0.167,0.990883,0.0959203
0.168,0.990773,0.0965017
0.169,0.990663,0.0970833
0.17,0.990552,0.0976651
0.171,0.99044,0.0982469
0.172,0.990327,0.0988289
0.173,0.990214,0.099411
0.174,0.9901,0.0999933
0.175,0.989986,0.100576
0.176,0.989871,0.101158
0.177,0.989755,0.101741
0.178,0.989638,0.102324
0.179,0.989521,0.102907
0.18,0.989403,0.10349
0.181,0.989285,0.104073
0.182,0.989166,0.104656
0.183,0.989046,0.10524
0.184,0.988925,0.105823
0.185,0.988804,0.106407
0.186,0.988682,0.106991
0.187,0.98856,0.107575
0.188,0.988437,0.10816
0.189,0.988313,0.108744
0.19,0.988188,0.109328
0.191,0.988063,0.109913
0.192,0.987937,0.110498
0.193,0.987811,0.111083
0.194,0.987684,0.111668
0.195,0.987556,0.112253
0.196,0.987427,0.112839
0.197,0.987298,0.113424
0.198,0.987168,0.11401
0.199,0.987038,0.114596
0.2,0.986907,0.115182
0.201,0.986775,0.115768
0.202,0.986642,0.116355
0.203,0.986509,0.116941
0.204,0.986375,0.117528
0.205,0.986241,0.118115
0.206,0.986106,0.118702
0.207,0.98597,0.119289
0.208,0.985833,0.119876
0.209,0.985696,0.120464
0.21,0.985558,0.121052
0.211,0.98542,0.12164
0.212,0.98528,0.122228
0.213,0.98514,0.122816
0.214,0.985,0.123404
0.215,0.984859,0.123993
0.216,0.984717,0.124581
0.217,0.984574,0.12517
0.218,0.984431,0.125759
0.219,0.984287,0.126348
0.22,0.984142,0.126938
0.221,0.983997,0.127527
0.222,0.983851,0.128117
0.223,0.983704,0.128707
0.224,0.983557,0.129297
0.225,0.983409,0.129888
0.226,0.98326,0.130478
0.227,0.983111,0.131069
0.228,0.982961,0.13166
0.229,0.98281,0.132251
0.23,0.982659,0.132842
0.231,0.982507,0.133433
0.232,0.982354,0.134025
0.233,0.982201,0.134617
0.234,0.982047,0.135209
0.235,0.981892,0.135801
0.236,0.981737,0.136393
0.237,0.981581,0.136986
0.238,0.981424,0.137578
0.239,0.981266,0.138171
0.24,0.981108,0.138764
0.241,0.980949,0.139358
0.242,0.98079,0.139951
0.243,0.98063,0.140545
0.244,0.980469,0.141139
0.245,0.980307,0.141733
0.246,0.980145,0.142327
0.247,0.979982,0.142922
0.248,0.979819,0.143516
0.249,0.979654,0.144111
0.25,0.97949,0.144706
0.251,0.979324,0.145302
0.252,0.979158,0.145897
0.253,0.978991,0.146493
0.254,0.978823,0.147089
0.255,0.978655,0.147685
0.256,0.978486,0.148281
0.257,0.978316,0.148878
0.258,0.978146,0.149475
0.259,0.977975,0.150072
0.26,0.977803,0.150669
0.261,0.97763,0.151266
0.262,0.977457,0.151864
0.263,0.977283,0.152462
0.264,0.977109,0.15306
0.265,0.976934,0.153658
0.266,0.976758,0.154257
0.267,0.976581,0.154855
0.268,0.976404,0.155454
0.269,0.976226,0.156054
0.27,0.976048,0.156653
0.271,0.975868,0.157253
0.272,0.975688,0.157852
0.273,0.975508,0.158453
0.274,0.975326,0.159053
0.275,0.975144,0.159653
0.276,0.974962,0.160254
0.277,0.974778,0.160855
0.278,0.974594,0.161456
0.279,0.974409,0.162058
0.28,0.974224,0.16266
0.281,0.974038,0.163261
0.282,0.973851,0.163864
0.283,0.973663,0.164466
0.284,0.973475,0.165069
