"arc_length","N","M"
0,1,1.05415e-05
0.001,1,0.000510542
0.002,0.999999,0.00101054
0.003,0.999998,0.00151054
0.004,0.999996,0.00201055
0.005,0.999994,0.00251056
0.006,0.999991,0.00301057
0.007,0.999988,0.00351058
0.008,0.999984,0.00401061
0.009,0.99998,0.00451063
0.01,0.999975,0.00501067
0.011,0.99997,0.00551071
0.012,0.999964,0.00601076
0.013,0.999958,0.00651082
0.014,0.999951,0.00701089
0.015,0.999944,0.00751097
0.016,0.999936,0.00801106
0.017,0.999928,0.00851116
0.018,0.999919,0.00901127
0.019,0.99991,0.0095114
0.02,0.9999,0.0100115
0.021,0.99989,0.0105117
0.022,0.999879,0.0110119
0.023,0.999867,0.0115121
0.024,0.999856,0.0120123
0.025,0.999843,0.0125125
0.026,0.999831,0.0130127
0.027,0.999817,0.013513
0.028,0.999804,0.0140133
0.029,0.999789,0.0145136
0.03,0.999775,0.0150139
0.031,0.999759,0.0155143
0.032,0.999744,0.0160146
0.033,0.999727,0.016515
0.034,0.999711,0.0170155
0.035,0.999693,0.0175159
0.036,0.999676,0.0180164
0.037,0.999657,0.0185169
0.038,0.999638,0.0190174
0.039,0.999619,0.019518
0.04,0.999599,0.0200186
0.041,0.999579,0.0205192
0.042,0.999558,0.0210198
0.043,0.999537,0.0215205
0.044,0.999515,0.0220212
0.045,0.999493,0.022522
0.046,0.99947,0.0230227
0.047,0.999447,0.0235236
0.048,0.999423,0.0240244
0.049,0.999399,0.0245253
0.05,0.999374,0.0250262
0.051,0.999349,0.0255272
0.052,0.999323,0.0260282
0.053,0.999297,0.0265292
0.054,0.99927,0.0270303
0.055,0.999243,0.0275314
0.056,0.999215,0.0280326
0.057,0.999186,0.0285338
0.058,0.999158,0.029035
0.059,0.999128,0.0295363
0.06,0.999099,0.0300376
0.061,0.999068,0.030539
0.062,0.999037,0.0310404
0.063,0.999006,0.0315419
0.064,0.998974,0.0320434
0.065,0.998942,0.032545
0.066,0.998909,0.0330466
0.067,0.998876,0.0335483
0.068,0.998842,0.03405
0.069,0.998808,0.0345517
0.07,0.998773,0.0350536
0.071,0.998737,0.0355554
0.072,0.998702,0.0360574
0.073,0.998665,0.0365593
0.074,0.998628,0.0370614
0.075,0.998591,0.0375635
0.076,0.998553,0.0380656
0.077,0.998515,0.0385678
0.078,0.998476,0.0390701
0.079,0.998436,0.0395724
0.08,0.998397,0.0400748
0.081,0.998356,0.0405772
0.082,0.998315,0.0410797
0.083,0.998274,0.0415823
0.084,0.998232,0.0420849
0.085,0.99819,0.0425876
0.086,0.998147,0.0430904
0.087,0.998103,0.0435932
0.088,0.998059,0.0440961
0.089,0.998015,0.0445991
0.09,0.99797,0.0451021
0.091,0.997924,0.0456052
0.092,0.997879,0.0461084
0.093,0.997832,0.0466116
0.094,0.997785,0.0471149
0.095,0.997738,0.0476183
0.096,0.99769,0.0481217
0.097,0.997641,0.0486252
0.098,0.997592,0.0491288
0.099,0.997543,0.0496325
0.1,0.997493,0.0501363
0.101,0.997442,0.0506401
0.102,0.997391,0.051144
0.103,0.99734,0.0516479
0.104,0.997288,0.052152
0.105,0.997235,0.0526561
0.106,0.997182,0.0531603
0.107,0.997128,0.0536646
0.108,0.997074,0.054169
0.109,0.99702,0.0546735
0.11,0.996965,0.055178
0.111,0.996909,0.0556827
0.112,0.996853,0.0561874
0.113,0.996796,0.0566922
0.114,0.996739,0.0571971
0.115,0.996682,0.057702
0.116,0.996623,0.0582071
0.117,0.996565,0.0587122
0.118,0.996506,0.0592175
0.119,0.996446,0.0597228
0.12,0.996386,0.0602282
0.121,0.996325,0.0607337
0.122,0.996264,0.0612393
0.123,0.996202,0.0617451
0.124,0.99614,0.0622508
0.125,0.996077,0.0627567
0.126,0.996014,0.0632627
0.127,0.99595,0.0637688
0.128,0.995886,0.064275
0.129,0.995821,0.0647813
0.13,0.995756,0.0652876
0.131,0.99569,0.0657941
