"arc_length","N","M"
0,1,6.7608e-06
0.001,0.999999,0.000792159
0.002,0.999998,0.00157756
0.003,0.999994,0.00236296
0.004,0.99999,0.00314836
0.005,0.999985,0.00393377
0.006,0.999978,0.00471918
0.007,0.99997,0.0055046
0.008,0.99996,0.00629003
0.009,0.99995,0.00707546
0.01,0.999938,0.0078609
0.011,0.999925,0.00864636
0.012,0.999911,0.00943182
0.013,0.999896,0.0102173
0.014,0.999879,0.0110028
0.015,0.999861,0.0117883
0.016,0.999842,0.0125738
0.017,0.999822,0.0133593
0.018,0.9998,0.0141449
0.019,0.999777,0.0149304
0.02,0.999753,0.015716
0.021,0.999728,0.0165016
0.022,0.999701,0.0172872
0.023,0.999673,0.0180729
0.024,0.999644,0.0188586
0.025,0.999614,0.0196442
0.026,0.999583,0.02043
0.027,0.99955,0.0212157
0.028,0.999516,0.0220015
0.029,0.999481,0.0227873
0.03,0.999445,0.0235731
0.031,0.999407,0.0243589
0.032,0.999368,0.0251448
0.033,0.999328,0.0259307
0.034,0.999287,0.0267167
0.035,0.999244,0.0275026
0.036,0.9992,0.0282886
0.037,0.999155,0.0290747
0.038,0.999109,0.0298608
0.039,0.999062,0.0306469
0.04,0.999013,0.031433
0.041,0.998963,0.0322192
0.042,0.998912,0.0330055
0.043,0.998859,0.0337917
0.044,0.998806,0.0345781
0.045,0.998751,0.0353644
0.046,0.998695,0.0361508
0.047,0.998637,0.0369373
0.048,0.998579,0.0377238
0.049,0.998519,0.0385103
0.05,0.998458,0.0392969
0.051,0.998396,0.0400835
0.052,0.998332,0.0408702
0.053,0.998268,0.0416569
0.054,0.998202,0.0424437
0.055,0.998135,0.0432306
0.056,0.998066,0.0440175
0.057,0.997997,0.0448044
0.058,0.997926,0.0455914
0.059,0.997854,0.0463785
0.06,0.99778,0.0471656
0.061,0.997706,0.0479528
0.062,0.99763,0.04874
0.063,0.997553,0.0495273
0.064,0.997475,0.0503146
0.065,0.997395,0.0511021
0.066,0.997315,0.0518895
0.067,0.997233,0.0526771
0.068,0.99715,0.0534647
0.069,0.997065,0.0542524
0.07,0.99698,0.0550401
0.071,0.996893,0.0558279
0.072,0.996805,0.0566158
0.073,0.996716,0.0574038
0.074,0.996625,0.0581918
0.075,0.996533,0.0589799
0.076,0.99644,0.059768
0.077,0.996346,0.0605563
0.078,0.996251,0.0613446
0.079,0.996154,0.062133
0.08,0.996057,0.0629215
0.081,0.995957,0.06371
0.082,0.995857,0.0644986
0.083,0.995756,0.0652873
0.084,0.995653,0.0660761
0.085,0.995549,0.066865
0.086,0.995444,0.0676539
0.087,0.995337,0.068443
0.088,0.99523,0.0692321
0.089,0.995121,0.0700213
0.09,0.995011,0.0708106
0.091,0.9949,0.0716
0.092,0.994787,0.0723894
0.093,0.994673,0.073179
0.094,0.994558,0.0739686
0.095,0.994442,0.0747584
0.096,0.994325,0.0755482
0.097,0.994206,0.0763382
0.098,0.994086,0.0771282
0.099,0.993965,0.0779183
0.1,0.993843,0.0787085
0.101,0.99372,0.0794988
0.102,0.993595,0.0802892
0.103,0.993469,0.0810797
0.104,0.993342,0.0818704
0.105,0.993213,0.0826611
0.106,0.993084,0.0834519
0.107,0.992953,0.0842428
0.108,0.992821,0.0850338
0.109,0.992688,0.085825
0.11,0.992554,0.0866162
0.111,0.992418,0.0874075
0.112,0.992281,0.088199
0.113,0.992143,0.0889906
0.114,0.992004,0.0897822
0.115,0.991863,0.090574
0.116,0.991721,0.0913659
0.117,0.991578,0.0921579
0.118,0.991434,0.0929501
0.119,0.991289,0.0937423
0.12,0.991142,0.0945347
0.121,0.990995,0.0953271
0.122,0.990846,0.0961197
0.123,0.990695,0.0969124
0.124,0.990544,0.0977053
0.125,0.990391,0.0984982
0.126,0.990237,0.0992913
0.127,0.990082,0.100085
0.128,0.989926,0.100878
0.129,0.989769,0.101671
0.13,0.98961,0.102465
0.131,0.98945,0.103259
0.132,0.989289,0.104052
0.133,0.989127,0.104846
0.134,0.988963,0.10564
0.135,0.988799,0.106435
0.136,0.988633,0.107229
0.137,0.988465,0.108024
0.138,0.988297,0.108818
0.139,0.988128,0.109613
0.14,0.987957,0.110408
0.141,0.987785,0.111203
0.142,0.987612,0.111998
0.143,0.987437,0.112793
0.144,0.987262,0.113589
0.145,0.987085,0.114384
0.146,0.986907,0.11518
0.147,0.986728,0.115976
0.148,0.986548,0.116772
0.149,0.986366,0.117568
0.15,0.986183,0.118365
0.151,0.985999,0.119161
0.152,0.985814,0.119958
0.153,0.985628,0.120755
0.154,0.98544,0.121551
0.155,0.985252,0.122349
0.156,0.985062,0.123146
0.157,0.98487,0.123943
0.158,0.984678,0.124741
0.159,0.984485,0.125538
0.16,0.98429,0.126336
0.161,0.984094,0.127134
0.162,0.983897,0.127932
0.163,0.983699,0.128731
0.164,0.983499,0.129529
0.165,0.983298,0.130328
0.166,0.983096,0.131127
0.167,0.982893,0.131926
0.168,0.982689,0.132725
0.169,0.982484,0.133524
0.17,0.982277,0.134324
0.171,0.982069,0.135123
0.172,0.98186,0.135923
0.173,0.98165,0.136723
0.174,0.981438,0.137523
0.175,0.981226,0.138324
0.176,0.981012,0.139124
0.177,0.980797,0.139925
0.178,0.980581,0.140726
0.179,0.980363,0.141527
0.18,0.980145,0.142328
0.181,0.979925,0.143129
