"arc_length","N"
0,1
0.1,1.00007
0.2,1.00014
0.3,1.0002
0.4,1.00027
0.5,1.00034
0.6,1.00041
0.7,1.00048
0.8,1.00055
0.9,1.00061
1,1.00068
1.1,1.00075
1.2,1.00082
1.3,1.00089
1.4,1.00096
1.5,1.00102
1.6,1.00109
1.7,1.00116
1.8,1.00123
1.9,1.0013
2,1.00137
2.1,1.00144
2.2,1.0015
2.3,1.00157
2.4,1.00164
2.5,1.00171
2.6,1.00178
2.7,1.00185
2.8,1.00192
2.9,1.00198
3,1.00205
3.1,1.00212
3.2,1.00219
3.3,1.00226
3.4,1.00233
3.5,1.0024
3.6,1.00247
3.7,1.00254
3.8,1.0026
3.9,1.00267
4,1.00274
4.1,1.00281
4.2,1.00288
4.3,1.00295
4.4,1.00302
4.5,1.00309
4.6,1.00316
4.7,1.00323
4.8,1.00329
4.9,1.00336
5,1.00343
5.1,1.0035
5.2,1.00357
5.3,1.00364
5.4,1.00371
5.5,1.00378
5.6,1.00385
5.7,1.00392
5.8,1.00399
5.9,1.00406
6,1.00413
6.1,1.0042
6.2,1.00427
6.3,1.00433
6.4,1.0044
6.5,1.00447
6.6,1.00454
6.7,1.00461
6.8,1.00468
6.9,1.00475
7,1.00482
7.1,1.00489
7.2,1.00496
7.3,1.00503
7.4,1.0051
7.5,1.00517
7.6,1.00524
7.7,1.00531
7.8,1.00538
7.9,1.00545
8,1.00552
8.1,1.00559
8.2,1.00566
8.3,1.00573
8.4,1.0058
8.5,1.00587
8.6,1.00594
8.7,1.00601
8.8,1.00608
8.9,1.00615
9,1.00622
9.1,1.00629
9.2,1.00636
9.3,1.00643
9.4,1.0065
9.5,1.00657
9.6,1.00664
9.7,1.00671
9.8,1.00678
9.9,1.00685
10,1.00692
10.1,1.00699
10.2,1.00706
10.3,1.00713
10.4,1.0072
10.5,1.00727
10.6,1.00734
10.7,1.00741
10.8,1.00748
10.9,1.00755
11,1.00762
11.1,1.00769
11.2,1.00777
11.3,1.00784
11.4,1.00791
11.5,1.00798
11.6,1.00805
11.7,1.00812
11.8,1.00819
11.9,1.00826
12,1.00833
12.1,1.0084
12.2,1.00847
12.3,1.00854
12.4,1.00861
12.5,1.00868
12.6,1.00876
12.7,1.00883
12.8,1.0089
12.9,1.00897
13,1.00904
13.1,1.00911
13.2,1.00918
13.3,1.00925
13.4,1.00932
13.5,1.00939
13.6,1.00946
13.7,1.00954
13.8,1.00961
13.9,1.00968
14,1.00975
14.1,1.00982
14.2,1.00989
14.3,1.00996
14.4,1.01003
14.5,1.01011
14.6,1.01018
14.7,1.01025
14.8,1.01032
14.9,1.01039
15,1.01046
15.1,1.01053
15.2,1.01061
15.3,1.01068
15.4,1.01075
15.5,1.01082
15.6,1.01089
15.7,1.01096
15.8,1.01103
15.9,1.01111
16,1.01118
16.1,1.01125
16.2,1.01132
16.3,1.01139
16.4,1.01146
16.5,1.01154
16.6,1.01161
16.7,1.01168
16.8,1.01175
16.9,1.01182
17,1.01189
17.1,1.01197
17.2,1.01204
17.3,1.01211
17.4,1.01218
17.5,1.01225
17.6,1.01233
17.7,1.0124
17.8,1.01247
17.9,1.01254
18,1.01261
18.1,1.01269
18.2,1.01276
18.3,1.01283
18.4,1.0129
18.5,1.01298
18.6,1.01305
18.7,1.01312
18.8,1.01319
18.9,1.01326
19,1.01334
19.1,1.01341
19.2,1.01348
19.3,1.01355
19.4,1.01363
19.5,1.0137
19.6,1.01377
19.7,1.01384
19.8,1.01392
19.9,1.01399
20,1.01406
20.1,1.01413
20.2,1.01421
20.3,1.01428
20.4,1.01435
20.5,1.01442
20.6,1.0145
20.7,1.01457
20.8,1.01464
20.9,1.01472
21,1.01479
21.1,1.01486
21.2,1.01493
21.3,1.01501
21.4,1.01508
21.5,1.01515
21.6,1.01522
21.7,1.0153
21.8,1.01537
21.9,1.01544
22,1.01552
22.1,1.01559
22.2,1.01566
22.3,1.01574
22.4,1.01581
22.5,1.01588
22.6,1.01596
22.7,1.01603
22.8,1.0161
22.9,1.01618
23,1.01625
23.1,1.01632
23.2,1.01639
23.3,1.01647
23.4,1.01654
23.5,1.01661
23.6,1.01669
23.7,1.01676
23.8,1.01684
23.9,1.01691
24,1.01698
24.1,1.01706
24.2,1.01713
24.3,1.0172
24.4,1.01728
24.5,1.01735
24.6,1.01742
24.7,1.0175
24.8,1.01757
24.9,1.01764
25,1.01772
25.1,1.01779
25.2,1.01787
25.3,1.01794
25.4,1.01801
25.5,1.01809
25.6,1.01816
25.7,1.01824
25.8,1.01831
25.9,1.01838
26,1.01846
26.1,1.01853
26.2,1.0186
26.3,1.01868
26.4,1.01875
26.5,1.01883
26.6,1.0189
26.7,1.01898
26.8,1.01905
26.9,1.01912
27,1.0192
27.1,1.01927
27.2,1.01935
27.3,1.01942
27.4,1.0195
27.5,1.01957
27.6,1.01964
27.7,1.01972
27.8,1.01979
27.9,1.01987
28,1.01994
28.1,1.02002
28.2,1.02009
28.3,1.02016
28.4,1.02024
28.5,1.02031
28.6,1.02039
28.7,1.02046
28.8,1.02054
28.9,1.02061
29,1.02069
29.1,1.02076
29.2,1.02084
29.3,1.02091
29.4,1.02099
29.5,1.02106
29.6,1.02114
29.7,1.02121
29.8,1.02129
29.9,1.02136
30,1.02144
30.1,1.02151
30.2,1.02159
30.3,1.02166
30.4,1.02174
30.5,1.02181
30.6,1.02189
30.7,1.02196
30.8,1.02204
30.9,1.02211
31,1.02219
31.1,1.02226
31.2,1.02234
31.3,1.02241
31.4,1.02249
31.5,1.02256
31.6,1.02264
31.7,1.02271
31.8,1.02279
31.9,1.02286
32,1.02294
32.1,1.02302
32.2,1.02309
32.3,1.02317
32.4,1.02324
32.5,1.02332
32.6,1.02339
32.7,1.02347
32.8,1.02354
32.9,1.02362
33,1.0237
33.1,1.02377
33.2,1.02385
33.3,1.02392
33.4,1.024
33.5,1.02407
33.6,1.02415
33.7,1.02423
33.8,1.0243
33.9,1.02438
34,1.02445
34.1,1.02453
34.2,1.02461
34.3,1.02468
34.4,1.02476
34.5,1.02483
34.6,1.02491
34.7,1.02499
34.8,1.02506
34.9,1.02514
35,1.02521
35.1,1.02529
35.2,1.02537
35.3,1.02544
35.4,1.02552
35.5,1.0256
35.6,1.02567
35.7,1.02575
35.8,1.02583
35.9,1.0259
36,1.02598
36.1,1.02605
36.2,1.02613
36.3,1.02621
36.4,1.02628
36.5,1.02636
36.6,1.02644
