"arc_length","T"
0,118.042
0.1,118.009
0.2,117.975
0.3,117.941
0.4,117.908
0.5,117.874
0.6,117.841
0.7,117.807
0.8,117.773
0.9,117.739
1,117.706
1.1,117.672
1.2,117.638
1.3,117.604
1.4,117.57
1.5,117.536
1.6,117.503
1.7,117.469
1.8,117.435
1.9,117.401
2,117.367
2.1,117.333
2.2,117.299
2.3,117.265
2.4,117.23
2.5,117.196
2.6,117.162
2.7,117.128
2.8,117.094
2.9,117.06
3,117.025
3.1,116.991
3.2,116.957
3.3,116.922
3.4,116.888
3.5,116.854
3.6,116.819
3.7,116.785
3.8,116.75
3.9,116.716
4,116.681
4.1,116.647
4.2,116.612
4.3,116.578
4.4,116.543
4.5,116.508
4.6,116.474
4.7,116.439
4.8,116.404
4.9,116.37
5,116.335
5.1,116.3
5.2,116.265
5.3,116.23
5.4,116.196
5.5,116.161
5.6,116.126
5.7,116.091
5.8,116.056
5.9,116.021
6,115.986
6.1,115.951
6.2,115.916
6.3,115.881
6.4,115.845
6.5,115.81
6.6,115.775
6.7,115.74
6.8,115.705
6.9,115.669
7,115.634
7.1,115.599
7.2,115.563
7.3,115.528
7.4,115.493
7.5,115.457
7.6,115.422
7.7,115.386
7.8,115.351
7.9,115.315
8,115.28
8.1,115.244
8.2,115.209
8.3,115.173
8.4,115.137
8.5,115.102
8.6,115.066
8.7,115.03
8.8,114.994
8.9,114.958
9,114.923
9.1,114.887
9.2,114.851
9.3,114.815
9.4,114.779
9.5,114.743
9.6,114.707
9.7,114.671
9.8,114.635
9.9,114.599
10,114.563
10.1,114.527
10.2,114.49
10.3,114.454
10.4,114.418
10.5,114.382
10.6,114.345
10.7,114.309
10.8,114.273
10.9,114.236
11,114.2
11.1,114.163
11.2,114.127
11.3,114.09
11.4,114.054
11.5,114.017
11.6,113.981
11.7,113.944
11.8,113.908
11.9,113.871
12,113.834
12.1,113.797
12.2,113.761
12.3,113.724
12.4,113.687
12.5,113.65
12.6,113.613
12.7,113.576
12.8,113.539
12.9,113.503
13,113.466
13.1,113.428
13.2,113.391
13.3,113.354
13.4,113.317
13.5,113.28
13.6,113.243
13.7,113.206
13.8,113.168
13.9,113.131
14,113.094
14.1,113.056
14.2,113.019
14.3,112.982
14.4,112.944
14.5,112.907
14.6,112.869
14.7,112.832
14.8,112.794
14.9,112.757
15,112.719
15.1,112.681
15.2,112.644
15.3,112.606
15.4,112.568
15.5,112.531
15.6,112.493
15.7,112.455
15.8,112.417
15.9,112.379
16,112.341
16.1,112.303
16.2,112.265
16.3,112.227
16.4,112.189
16.5,112.151
16.6,112.113
16.7,112.075
16.8,112.037
16.9,111.998
17,111.96
17.1,111.922
17.2,111.883
17.3,111.845
17.4,111.807
17.5,111.768
17.6,111.73
17.7,111.691
17.8,111.653
17.9,111.614
18,111.576
18.1,111.537
18.2,111.498
18.3,111.46
18.4,111.421
18.5,111.382
18.6,111.343
18.7,111.305
18.8,111.266
18.9,111.227
19,111.188
19.1,111.149
19.2,111.11
19.3,111.071
19.4,111.032
19.5,110.993
19.6,110.954
19.7,110.915
19.8,110.875
19.9,110.836
20,110.797
20.1,110.758
20.2,110.718
20.3,110.679
20.4,110.639
20.5,110.6
20.6,110.561
20.7,110.521
20.8,110.481
20.9,110.442
21,110.402
21.1,110.363
21.2,110.323
21.3,110.283
21.4,110.243
21.5,110.204
21.6,110.164
21.7,110.124
21.8,110.084
21.9,110.044
22,110.004
22.1,109.964
22.2,109.924
22.3,109.884
22.4,109.844
22.5,109.804
22.6,109.763
22.7,109.723
22.8,109.683
22.9,109.643
23,109.602
23.1,109.562
