"arc_length","T"
0,52.594333891380607326
0.025,52.594332911035643008
0.05,52.594329970009788155
0.075,52.594325068317978378
0.1,52.594318205979789127
0.125,52.594309383015087178
0.15,52.594298599443170872
0.175,52.594285855300917376
0.2,52.594271150600903297
0.225,52.594254485391381593
0.25,52.594235859686314427
0.275,52.594215273530089405
0.3,52.594192726961516371
0.325,52.594168220052118556
0.35,52.594141752786910615
0.375,52.594113325239703727
0.4,52.594082937458466631
0.425,52.594050589494720782
0.45,52.594016281444268657
0.475,52.593980013281402819
0.5,52.593941785104192377
0.525,52.593901597021584848
0.55,52.593859448952557045
0.575,52.593815341162311938
0.6,52.593769273509174411
0.625,52.593721246285838333
0.65,52.593671259455121003
0.675,52.593619312970325552
0.7,52.593565407155942637
0.725,52.593509541836112930
0.75,52.593451717362796671
0.775,52.593391933688089068
0.8,52.593330190754414843
0.825,52.593266488945573656
0.85,52.593200828051557494
0.875,52.593133208483578755
0.9,52.593063630182996349
0.925,52.592992093081406324
0.95,52.592918597621952870
0.975,52.592843143560493502
1,52.592765731367542514
1.025,52.592686360973679882
1.05,52.592605032494695649
1.075,52.592521745646159559
1.1,52.592436501341339294
1.125,52.592349299308352784
1.15,52.592260139669427588
1.175,52.592169022552930358
1.2,52.592075947640537947
1.225,52.591980915951531017
1.25,52.591883927180056446
1.275,52.591784981461060511
1.3,52.591684078935749369
1.325,52.591581219251800405
1.35,52.591476403534642259
1.375,52.591369631444557342
1.4,52.591260903129295912
1.425,52.591150218742882316
1.45,52.591037577899257371
1.475,52.590922981829926641
1.5,52.590806430161450180
1.525,52.590687923054431963
1.55,52.590567460675814004
1.575,52.590445042605864501
1.6,52.590320670182279628
1.625,52.590194342997953925
1.65,52.590066061226515615
1.675,52.589935825047852802
1.7,52.589803634008639222
1.725,52.589669489552861137
1.75,52.589533391239832838
1.775,52.589395339256270745
1.8,52.589255333795172476
1.825,52.589113374369738096
1.85,52.588969462530251064
1.875,52.588823597802587528
1.9,52.588675780386601843
1.925,52.588526010488514828
1.95,52.588374287588145251
1.975,52.588220613342102183
2,52.588064987242951531
2.025,52.587907408744953841
2.05,52.587747880344124951
2.075,52.587586399210550780
2.1,52.587422968647189236
2.125,52.587257585769890511
2.15,52.587090252343280383
2.175,52.586920970235127015
2.2,52.586749736442818914
2.225,52.586576554468777545
2.25,52.586401421256304900
2.275,52.586224338676430534
2.3,52.586045308703347700
2.325,52.585864328161989079
2.35,52.585681400754218373
2.375,52.585496523250917278
2.4,52.585309697629654124
2.425,52.585120925971033046
2.45,52.584930204927836428
2.475,52.584737538401228107
2.5,52.584542922990024749
2.525,52.584346360778312146
2.55,52.584147853953183471
2.575,52.583947398995434241
2.6,52.583745000005627901
2.625,52.583540653410629773
2.65,52.583334361401121271
2.675,52.583126126270762768
2.7,52.582915944328568969
2.725,52.582703819874446083
2.75,52.582489749163613624
2.775,52.582273734493433892
2.8,52.582055778264098933
2.825,52.581835876613141068
2.85,52.581614034039802164
2.875,52.581390246627933038
2.9,52.581164516781512930
2.925,52.580936847007400559
2.95,52.580707233271922973
2.975,52.580475680273629280
3,52.580242183925200550
3.025,52.580006746737417700
3.05,52.579769371323784810
3.075,52.579530053479686558
3.1,52.579288798102957969
3.125,52.579045600935479854
3.15,52.578800464594785069
3.175,52.578553391801193584
3.2,52.578304378179389289
3.225,52.578053428826457605
3.25,52.577800539313749084
3.275,52.577545712365655106
3.3,52.577288950809297319
3.325,52.577030250099042519
3.35,52.576769615531240731
3.375,52.576507042506996470
3.4,52.576242533857637795
3.425,52.575976092517116456
3.45,52.575707713769801899
3.475,52.575437403111294543
3.5,52.575165155772758396
3.525,52.574890974692550571
3.55,52.574614862911523971
3.575,52.574336815544370438
3.6,52.574056838285876836
3.625,52.573774926197692992
3.65,52.573491082325205070
3.675,52.573205309816273711
3.7,52.572917603616289739
3.725,52.572627969619198041
3.75,52.572336402717411374
3.775,52.572042906063515488
3.8,52.571747482912435601
3.825,52.571450128040574157
3.85,52.571150847541034068
3.875,52.570849636137431560
3.9,52.570546497089509330
3.925,52.570241433759399285
3.95,52.569934440754877869
3.975,52.569625524368206015
4,52.569314679154558689
4.025,52.569001908480991858
4.05,52.568687212800995212
4.075,52.568370598624873935
4.1,52.568052054326912526
4.125,52.567731586379615294
4.15,52.567409195234269248
4.175,52.567084881359953386
4.2,52.566758651465988805
4.225,52.566430493575595051
4.25,52.566100414360349191
4.275,52.565768414287383337
4.3,52.565434493841586061
4.325,52.565098659931223324
4.35,52.564760900229053675
4.375,52.564421221605861945
4.4,52.564079624544696401
4.425,52.563736109546447040
4.45,52.563390683718424157
4.475,52.563043334383543481
4.5,52.562694068611691023
4.525,52.562342886902143846
4.55,52.561989789771992321
4.575,52.561634784527520026
4.6,52.561277858142503305
4.625,52.560919017885929350
4.65,52.560558264273495865
4.675,52.560195597838756498
4.7,52.559831026086904160
4.725,52.559464535643343197
4.75,52.559096133976183296
4.775,52.558725821617720442
4.8,52.558353599118142085
4.825,52.557979474181600210
4.85,52.557603433085816391
4.875,52.557225483497951757
4.9,52.556845625967177682
4.925,52.556463861060620957
4.95,52.556080196681321581
4.975,52.555694618760057324
5,52.555307135163069177
5.025,52.554917746456652594
5.05,52.554526453225093974
5.075,52.554133263570250278
5.1,52.553738163076822332
5.125,52.553341159810081251
5.15,52.552942254353645524
5.175,52.552541447309245370
5.2,52.552138746977547612
5.225,52.551734138598007462
5.25,52.551327630434862215
5.275,52.550919223089408661
5.3,52.550508917180991375
5.325,52.550096721209122563
5.35,52.549682620068757899
5.375,52.549266622223136380
5.4,52.548848728291503107
5.425,52.548428938911115438
5.45,52.548007262780238591
5.475,52.547583684450295038
5.5,52.547158212583461534
5.525,52.546730847817137544
5.55,52.546301590806805848
5.575,52.545870450449541522
5.6,52.545437410953979906
5.625,52.545002481181320775
5.65,52.544565661787416389
5.675,52.544126953446223638
5.7,52.543686365253556403
5.725,52.543243881076286073
5.75,52.542799509974550176
