"arc_length","M"
0,0.0203499
0.025,0.0212031
0.05,0.0220564
0.075,0.0229097
0.1,0.0237632
0.125,0.0246167
0.15,0.0254704
0.175,0.0263241
0.2,0.027178
0.225,0.0280319
0.25,0.0288859
0.275,0.0297401
0.3,0.0305943
0.325,0.0314487
0.35,0.0323031
0.375,0.0331577
0.4,0.0340124
0.425,0.0348672
0.45,0.0357222
0.475,0.0365772
0.5,0.0374324
0.525,0.0382877
0.55,0.0391432
0.575,0.0399988
0.6,0.0408545
0.625,0.0417104
0.65,0.0425664
0.675,0.0434226
0.7,0.0442789
0.725,0.0451353
0.75,0.0459919
0.775,0.0468487
0.8,0.0477057
0.825,0.0485627
0.85,0.04942
0.875,0.0502774
0.9,0.051135
0.925,0.0519928
0.95,0.0528508
0.975,0.0537089
1,0.0545672
1.025,0.0554257
1.05,0.0562844
1.075,0.0571433
1.1,0.0580024
1.125,0.0588616
1.15,0.0597211
1.175,0.0605808
1.2,0.0614407
1.225,0.0623007
1.25,0.063161
1.275,0.0640216
1.3,0.0648823
1.325,0.0657432
1.35,0.0666044
1.375,0.0674658
1.4,0.0683274
1.425,0.0691893
1.45,0.0700514
1.475,0.0709137
1.5,0.0717763
1.525,0.0726391
1.55,0.0735022
1.575,0.0743655
1.6,0.075229
1.625,0.0760928
1.65,0.0769569
1.675,0.0778213
1.7,0.0786859
1.725,0.0795507
1.75,0.0804159
1.775,0.0812813
1.8,0.082147
1.825,0.0830129
1.85,0.0838792
1.875,0.0847457
1.9,0.0856125
1.925,0.0864797
1.95,0.0873471
1.975,0.0882148
2,0.0890828
2.025,0.0899511
2.05,0.0908197
2.075,0.0916887
2.1,0.0925579
2.125,0.0934275
2.15,0.0942973
2.175,0.0951675
2.2,0.0960381
2.225,0.0969089
2.25,0.0977801
2.275,0.0986516
2.3,0.0995235
2.325,0.100396
2.35,0.101268
2.375,0.102141
2.4,0.103014
2.425,0.103888
2.45,0.104762
2.475,0.105636
2.5,0.106511
2.525,0.107386
2.55,0.108261
2.575,0.109137
2.6,0.110013
2.625,0.11089
2.65,0.111767
2.675,0.112644
2.7,0.113522
2.725,0.1144
2.75,0.115279
2.775,0.116158
2.8,0.117037
2.825,0.117917
2.85,0.118797
2.875,0.119677
2.9,0.120558
2.925,0.12144
2.95,0.122322
2.975,0.123204
3,0.124087
3.025,0.12497
3.05,0.125853
3.075,0.126737
3.1,0.127622
3.125,0.128507
3.15,0.129392
3.175,0.130278
3.2,0.131164
3.225,0.132051
3.25,0.132938
3.275,0.133826
3.3,0.134714
3.325,0.135602
3.35,0.136492
3.375,0.137381
3.4,0.138271
3.425,0.139162
3.45,0.140053
3.475,0.140945
3.5,0.141837
3.525,0.142729
3.55,0.143622
3.575,0.144516
3.6,0.14541
3.625,0.146305
3.65,0.1472
3.675,0.148096
3.7,0.148992
