"arc_length","Nn"
0,1e-20
0.025,5.70919e-09
0.05,1.08927e-08
0.075,1.55988e-08
0.1,1.98716e-08
0.125,2.37509e-08
0.15,2.7273e-08
0.175,3.04706e-08
0.2,3.33737e-08
0.225,3.60094e-08
0.25,3.84023e-08
0.275,4.05748e-08
0.3,4.2547e-08
0.325,4.43375e-08
0.35,4.5963e-08
0.375,4.74386e-08
0.4,4.87782e-08
0.425,4.99942e-08
0.45,5.10981e-08
0.475,5.21001e-08
0.5,5.30096e-08
0.525,5.38352e-08
0.55,5.45845e-08
0.575,5.52646e-08
0.6,5.58818e-08
0.625,5.64419e-08
0.65,5.69501e-08
0.675,5.74113e-08
0.7,5.78298e-08
0.725,5.82094e-08
0.75,5.85538e-08
0.775,5.88662e-08
0.8,5.91495e-08
0.825,5.94064e-08
0.85,5.96393e-08
0.875,5.98505e-08
0.9,6.00419e-08
0.925,6.02153e-08
0.95,6.03724e-08
0.975,6.05147e-08
1,6.06436e-08
1.025,6.07602e-08
1.05,6.08657e-08
1.075,6.09611e-08
1.1,6.10474e-08
1.125,6.11254e-08
1.15,6.11958e-08
1.175,6.12593e-08
1.2,6.13165e-08
1.225,6.13681e-08
1.25,6.14146e-08
1.275,6.14563e-08
1.3,6.14938e-08
1.325,6.15275e-08
1.35,6.15576e-08
1.375,6.15845e-08
1.4,6.16085e-08
1.425,6.16298e-08
1.45,6.16488e-08
1.475,6.16655e-08
1.5,6.16803e-08
1.525,6.16932e-08
1.55,6.17045e-08
1.575,6.17143e-08
1.6,6.17227e-08
1.625,6.17299e-08
1.65,6.17359e-08
1.675,6.17409e-08
1.7,6.17449e-08
1.725,6.17481e-08
1.75,6.17505e-08
1.775,6.17521e-08
1.8,6.17532e-08
1.825,6.17536e-08
1.85,6.17534e-08
1.875,6.17528e-08
1.9,6.17517e-08
1.925,6.17501e-08
1.95,6.17482e-08
1.975,6.17459e-08
2,6.17433e-08
2.025,6.17404e-08
2.05,6.17372e-08
2.075,6.17337e-08
2.1,6.173e-08
2.125,6.17261e-08
2.15,6.17219e-08
2.175,6.17176e-08
2.2,6.17131e-08
2.225,6.17085e-08
2.25,6.17036e-08
2.275,6.16987e-08
2.3,6.16936e-08
2.325,6.16884e-08
2.35,6.1683e-08
2.375,6.16775e-08
2.4,6.1672e-08
2.425,6.16663e-08
2.45,6.16605e-08
2.475,6.16546e-08
2.5,6.16487e-08
2.525,6.16426e-08
2.55,6.16365e-08
2.575,6.16303e-08
2.6,6.1624e-08
2.625,6.16177e-08
2.65,6.16112e-08
2.675,6.16047e-08
2.7,6.15982e-08
2.725,6.15915e-08
2.75,6.15849e-08
2.775,6.15781e-08
2.8,6.15713e-08
2.825,6.15644e-08
2.85,6.15574e-08
2.875,6.15504e-08
2.9,6.15434e-08
2.925,6.15363e-08
2.95,6.15291e-08
2.975,6.15219e-08
3,6.15146e-08
3.025,6.15072e-08
3.05,6.14998e-08
3.075,6.14924e-08
